Place,Viewpoint,Entry Ticket (₹),Hotel Name,Budget Category,Hotel Cost Per Night (₹),Restaurant Name,Avg Bill (₹),Menu Dishes,Dish Prices (₹)
Tawang,Madhuri Lake (Sangestar Tso),50.0,Hotel The Oak,Budget,800,Taste of Tawang,569.0,"Fish Curry, Roti, Biryani","234, 106, 148"
Tawang,Sela Pass,50.0,Hotel Tawang View,Luxury,2500,Orange Restaurant,377.0,"Dosa, Fish Curry, Upma","236, 275, 256"
Tawang,Tawang Monastery,50.0,Hotel The Oak,Budget,800,Orange Restaurant,377.0,"Dosa, Fish Curry, Upma","236, 275, 256"
Tawang,Jaswant Garh,100.0,Hotel Monyul,Budget,800,Taste of Tawang,569.0,"Fish Curry, Roti, Biryani","234, 106, 148"
Tawang,Jaswant Garh,100.0,Hotel Gakyi Khang Zhang,Budget,800,Taste of Tawang,569.0,"Fish Curry, Roti, Biryani","234, 106, 148"
Mahabaleshwar,Mapro Garden,50.0,Le Meridien Mahabaleshwar Resort & Spa,Luxury,2500,Grapevine Restaurant,454.0,"Upma, Paratha, Paneer Butter Masala","65, 63, 235"
Mahabaleshwar,Pratapgad Fort,0.0,Le Meridien Mahabaleshwar Resort & Spa,Luxury,2500,Grapevine Restaurant,454.0,"Upma, Paratha, Paneer Butter Masala","65, 63, 235"
Mahabaleshwar,Venna Lake,150.0,Le Meridien Mahabaleshwar Resort & Spa,Luxury,2500,Bagicha Corner,517.0,"Poha, Idli, Momos","295, 118, 204"
Mahabaleshwar,Arthur's Seat,150.0,Le Meridien Mahabaleshwar Resort & Spa,Luxury,2500,Mapro Garden,672.0,"Dosa, Paratha, Upma","142, 235, 188"
Mahabaleshwar,Lingmala Waterfall,0.0,Le Meridien Mahabaleshwar Resort & Spa,Luxury,2500,Mapro Garden,672.0,"Dosa, Paratha, Upma","142, 235, 188"
Mahabaleshwar,Arthur's Seat,150.0,Saj Resorts,Luxury,2500,Bagicha Corner,517.0,"Poha, Idli, Momos","295, 118, 204"
Mahabaleshwar,Lingmala Waterfall,0.0,Saj Resorts,Luxury,2500,Grapevine Restaurant,454.0,"Upma, Paratha, Paneer Butter Masala","65, 63, 235"
Mahabaleshwar,Panchgani,0.0,Le Meridien Mahabaleshwar Resort & Spa,Luxury,2500,Mapro Garden,672.0,"Dosa, Paratha, Upma","142, 235, 188"
Mahabaleshwar,Venna Lake,150.0,Le Meridien Mahabaleshwar Resort & Spa,Luxury,2500,Mapro Garden,672.0,"Dosa, Paratha, Upma","142, 235, 188"
Mahabaleshwar,Venna Lake,150.0,Brightland Resort & Spa,Luxury,2500,Bagicha Corner,517.0,"Poha, Idli, Momos","295, 118, 204"
Mahabaleshwar,Venna Lake,150.0,Saj Resorts,Luxury,2500,Bagicha Corner,517.0,"Poha, Idli, Momos","295, 118, 204"
Mahabaleshwar,Pratapgad Fort,0.0,Saj Resorts,Luxury,2500,Grapevine Restaurant,454.0,"Upma, Paratha, Paneer Butter Masala","65, 63, 235"
Mahabaleshwar,Mapro Garden,50.0,Saj Resorts,Luxury,2500,Grapevine Restaurant,454.0,"Upma, Paratha, Paneer Butter Masala","65, 63, 235"
Mahabaleshwar,Mapro Garden,50.0,Saj Resorts,Luxury,2500,Mapro Garden,672.0,"Dosa, Paratha, Upma","142, 235, 188"
Mahabaleshwar,Panchgani,0.0,Brightland Resort & Spa,Luxury,2500,Mapro Garden,672.0,"Dosa, Paratha, Upma","142, 235, 188"
Mahabaleshwar,Lingmala Waterfall,0.0,Le Meridien Mahabaleshwar Resort & Spa,Luxury,2500,Bagicha Corner,517.0,"Poha, Idli, Momos","295, 118, 204"
Mahabaleshwar,Venna Lake,150.0,Brightland Resort & Spa,Luxury,2500,Grapevine Restaurant,454.0,"Upma, Paratha, Paneer Butter Masala","65, 63, 235"
Mahabaleshwar,Panchgani,0.0,Saj Resorts,Luxury,2500,Grapevine Restaurant,454.0,"Upma, Paratha, Paneer Butter Masala","65, 63, 235"
Mahabaleshwar,Arthur's Seat,150.0,Le Meridien Mahabaleshwar Resort & Spa,Luxury,2500,Bagicha Corner,517.0,"Poha, Idli, Momos","295, 118, 204"
Mahabaleshwar,Arthur's Seat,150.0,Brightland Resort & Spa,Luxury,2500,Bagicha Corner,517.0,"Poha, Idli, Momos","295, 118, 204"
Shimla,Mall Road,150.0,Radisson Hotel Shimla,Budget,800,Cafe Shimla Times,303.0,"Fish Curry, Paneer Butter Masala, Momos","78, 117, 130"
Shimla,The Ridge,150.0,The Oberoi Cecil,Budget,800,Eighteen71 Cookhouse & Bar,317.0,"Upma, Thali, Momos","89, 124, 122"
Shimla,Indian Institute of Advanced Study,0.0,The Oberoi Cecil,Budget,800,Eighteen71 Cookhouse & Bar,317.0,"Upma, Thali, Momos","89, 124, 122"
Shimla,Jakhu Temple,150.0,Radisson Hotel Shimla,Budget,800,Cafe Shimla Times,303.0,"Fish Curry, Paneer Butter Masala, Momos","78, 117, 130"
Shimla,Jakhu Temple,150.0,Hotel Combermere,Mid-range,1500,Honey Hut,556.0,"Fish Curry, Paneer Butter Masala, Idli","109, 179, 203"
Shimla,Mall Road,150.0,The Oberoi Cecil,Budget,800,Indian Coffee House,387.0,"Dosa, Fish Curry, Paratha","116, 123, 286"
Shimla,Mall Road,150.0,Hotel Combermere,Mid-range,1500,Honey Hut,556.0,"Fish Curry, Paneer Butter Masala, Idli","109, 179, 203"
Shimla,Kufri,150.0,Radisson Hotel Shimla,Budget,800,Honey Hut,556.0,"Fish Curry, Paneer Butter Masala, Idli","109, 179, 203"
Shimla,The Ridge,150.0,Radisson Hotel Shimla,Budget,800,Honey Hut,556.0,"Fish Curry, Paneer Butter Masala, Idli","109, 179, 203"
Shimla,Christ Church,0.0,Clarkes Hotel,Mid-range,1500,Honey Hut,556.0,"Fish Curry, Paneer Butter Masala, Idli","109, 179, 203"
Shimla,Kufri,150.0,The Oberoi Cecil,Budget,800,Eighteen71 Cookhouse & Bar,317.0,"Upma, Thali, Momos","89, 124, 122"
Shimla,Christ Church,0.0,Clarkes Hotel,Mid-range,1500,Eighteen71 Cookhouse & Bar,317.0,"Upma, Thali, Momos","89, 124, 122"
Shimla,The Ridge,150.0,Hotel Combermere,Mid-range,1500,Indian Coffee House,387.0,"Dosa, Fish Curry, Paratha","116, 123, 286"
Shimla,Indian Institute of Advanced Study,0.0,The Oberoi Cecil,Budget,800,Honey Hut,556.0,"Fish Curry, Paneer Butter Masala, Idli","109, 179, 203"
Shimla,Indian Institute of Advanced Study,0.0,Hotel Combermere,Mid-range,1500,Eighteen71 Cookhouse & Bar,317.0,"Upma, Thali, Momos","89, 124, 122"
Shimla,Indian Institute of Advanced Study,0.0,Radisson Hotel Shimla,Budget,800,Cafe Shimla Times,303.0,"Fish Curry, Paneer Butter Masala, Momos","78, 117, 130"
Shimla,Christ Church,0.0,Clarkes Hotel,Mid-range,1500,Cafe Shimla Times,303.0,"Fish Curry, Paneer Butter Masala, Momos","78, 117, 130"
Shimla,Kufri,150.0,Radisson Hotel Shimla,Budget,800,Cafe Shimla Times,303.0,"Fish Curry, Paneer Butter Masala, Momos","78, 117, 130"
Shimla,The Ridge,150.0,The Oberoi Cecil,Budget,800,Honey Hut,556.0,"Fish Curry, Paneer Butter Masala, Idli","109, 179, 203"
Shimla,Mall Road,150.0,Clarkes Hotel,Mid-range,1500,Eighteen71 Cookhouse & Bar,317.0,"Upma, Thali, Momos","89, 124, 122"
Pondicherry,Goubert Market,50.0,The Residency Towers Puducherry,Luxury,2500,Satsanga,458.0,"Upma, Momos, Biryani","122, 298, 299"
Pondicherry,Auroville,50.0,Accord Puducherry,Luxury,2500,Cafe des Arts,614.0,"Poha, Roti, Paratha","159, 167, 217"
Pondicherry,Sri Aurobindo Ashram,150.0,Accord Puducherry,Luxury,2500,Cafe des Arts,614.0,"Poha, Roti, Paratha","159, 167, 217"
Pondicherry,Auroville,50.0,Hotel Promenade,Luxury,2500,Villa Shanti,471.0,"Fish Curry, Thali, Roti","298, 196, 270"
Pondicherry,Auroville,50.0,Hotel Promenade,Luxury,2500,La Maison Rose,565.0,"Thali, Paneer Butter Masala, Paratha","149, 190, 236"
Pondicherry,Sri Aurobindo Ashram,150.0,Hotel Promenade,Luxury,2500,Baker Street,346.0,"Paratha, Momos, Idli","231, 298, 64"
Pondicherry,Promenade Beach,150.0,Hotel Promenade,Luxury,2500,Cafe des Arts,614.0,"Poha, Roti, Paratha","159, 167, 217"
Pondicherry,Botanical Garden,50.0,Palais de Mahe – CGH Earth,Mid-range,1500,Cafe des Arts,614.0,"Poha, Roti, Paratha","159, 167, 217"
Pondicherry,Botanical Garden,50.0,Hotel Promenade,Luxury,2500,Villa Shanti,471.0,"Fish Curry, Thali, Roti","298, 196, 270"
Pondicherry,Sri Aurobindo Ashram,150.0,Palais de Mahe – CGH Earth,Mid-range,1500,Cafe des Arts,614.0,"Poha, Roti, Paratha","159, 167, 217"
Pondicherry,Goubert Market,50.0,Palais de Mahe – CGH Earth,Mid-range,1500,Satsanga,458.0,"Upma, Momos, Biryani","122, 298, 299"
Pondicherry,Promenade Beach,150.0,Hotel Promenade,Luxury,2500,Satsanga,458.0,"Upma, Momos, Biryani","122, 298, 299"
Pondicherry,Botanical Garden,50.0,The Residency Towers Puducherry,Luxury,2500,Baker Street,346.0,"Paratha, Momos, Idli","231, 298, 64"
Pondicherry,Goubert Market,50.0,Le Dupleix,Luxury,2500,Satsanga,458.0,"Upma, Momos, Biryani","122, 298, 299"
Pondicherry,Auroville,50.0,The Residency Towers Puducherry,Luxury,2500,Villa Shanti,471.0,"Fish Curry, Thali, Roti","298, 196, 270"
Pondicherry,Auroville,50.0,Accord Puducherry,Luxury,2500,La Maison Rose,565.0,"Thali, Paneer Butter Masala, Paratha","149, 190, 236"
Pondicherry,Paradise Beach,150.0,Accord Puducherry,Luxury,2500,Villa Shanti,471.0,"Fish Curry, Thali, Roti","298, 196, 270"
Pondicherry,Paradise Beach,150.0,Palais de Mahe – CGH Earth,Mid-range,1500,Villa Shanti,471.0,"Fish Curry, Thali, Roti","298, 196, 270"
Pondicherry,Paradise Beach,150.0,Palais de Mahe – CGH Earth,Mid-range,1500,Satsanga,458.0,"Upma, Momos, Biryani","122, 298, 299"
Pondicherry,Auroville,50.0,Le Dupleix,Luxury,2500,Villa Shanti,471.0,"Fish Curry, Thali, Roti","298, 196, 270"
Udaipur,Jag Mandir,200.0,Oberoi Udaivilas,Luxury,2500,Tribute Restaurant,643.0,"Biryani, Upma, Thali","126, 138, 90"
Udaipur,Lake Pichola,200.0,Oberoi Udaivilas,Luxury,2500,Enigma,281.0,"Roti, Thali, Paratha","234, 67, 223"
Udaipur,Jagdish Temple,200.0,Ramada by Wyndham Udaipur Resort & Spa,Luxury,2500,Enigma,281.0,"Roti, Thali, Paratha","234, 67, 223"
Udaipur,City Palace,200.0,The Leela Palace Udaipur,Budget,800,Enigma,281.0,"Roti, Thali, Paratha","234, 67, 223"
Udaipur,Fateh Sagar Lake,200.0,Radisson Blu Palace Resort & Spa Udaipur,Mid-range,1500,Hari Garh Restaurant,306.0,"Upma, Thali, Poha","172, 265, 284"
Udaipur,Lake Pichola,200.0,Taj Lake Palace,Luxury,2500,Ambrai Restaurant,339.0,"Thali, Idli, Poha","151, 110, 259"
Udaipur,Jagdish Temple,200.0,The Leela Palace Udaipur,Budget,800,Upre by 1559 AD,328.0,"Paneer Butter Masala, Thali, Paratha","62, 208, 285"
Udaipur,Fateh Sagar Lake,200.0,The Leela Palace Udaipur,Budget,800,Hari Garh Restaurant,306.0,"Upma, Thali, Poha","172, 265, 284"
Udaipur,Jagdish Temple,200.0,Taj Lake Palace,Luxury,2500,Hari Garh Restaurant,306.0,"Upma, Thali, Poha","172, 265, 284"
Udaipur,Jagdish Temple,200.0,Radisson Blu Palace Resort & Spa Udaipur,Mid-range,1500,Ambrai Restaurant,339.0,"Thali, Idli, Poha","151, 110, 259"
Udaipur,Lake Pichola,200.0,Taj Lake Palace,Luxury,2500,Upre by 1559 AD,328.0,"Paneer Butter Masala, Thali, Paratha","62, 208, 285"
Udaipur,Jagdish Temple,200.0,Ramada by Wyndham Udaipur Resort & Spa,Luxury,2500,Hari Garh Restaurant,306.0,"Upma, Thali, Poha","172, 265, 284"
Udaipur,Jag Mandir,200.0,Taj Lake Palace,Luxury,2500,Ambrai Restaurant,339.0,"Thali, Idli, Poha","151, 110, 259"
Udaipur,Jagdish Temple,200.0,Radisson Blu Palace Resort & Spa Udaipur,Mid-range,1500,Enigma,281.0,"Roti, Thali, Paratha","234, 67, 223"
Udaipur,Saheliyon-ki-Bari,200.0,Ramada by Wyndham Udaipur Resort & Spa,Luxury,2500,Hari Garh Restaurant,306.0,"Upma, Thali, Poha","172, 265, 284"
Udaipur,City Palace,200.0,Taj Lake Palace,Luxury,2500,Hari Garh Restaurant,306.0,"Upma, Thali, Poha","172, 265, 284"
Udaipur,Jagdish Temple,200.0,Taj Lake Palace,Luxury,2500,Enigma,281.0,"Roti, Thali, Paratha","234, 67, 223"
Udaipur,Jag Mandir,200.0,Oberoi Udaivilas,Luxury,2500,Upre by 1559 AD,328.0,"Paneer Butter Masala, Thali, Paratha","62, 208, 285"
Udaipur,City Palace,200.0,Taj Lake Palace,Luxury,2500,Ambrai Restaurant,339.0,"Thali, Idli, Poha","151, 110, 259"
Udaipur,Lake Pichola,200.0,Radisson Blu Palace Resort & Spa Udaipur,Mid-range,1500,Upre by 1559 AD,328.0,"Paneer Butter Masala, Thali, Paratha","62, 208, 285"
Mount Abu,Nakki Lake,150.0,Hotel Hillock,Mid-range,1500,Arbuda Restaurant,572.0,"Dosa, Poha, Upma","70, 191, 217"
Mount Abu,Dilwara Temples,150.0,Hotel Hillock,Mid-range,1500,Arbuda Restaurant,572.0,"Dosa, Poha, Upma","70, 191, 217"
Rishikesh,Laxman Jhula,150.0,The Roseate Ganges Rishikesh,Luxury,2500,Ramana's Garden Organic Cafe,474.0,"Paratha, Biryani, Dosa","199, 291, 71"
Rishikesh,Ram Jhula,150.0,Ganga Beach Resort,Budget,800,Ganga Beach Cafe,319.0,"Paneer Butter Masala, Roti, Momos","270, 128, 199"
Rishikesh,Parmarth Niketan Ashram,200.0,Ananda in the Himalayas,Budget,800,Chotiwala,660.0,"Thali, Paratha, Poha","85, 277, 281"
Rishikesh,Ram Jhula,150.0,Ganga Beach Resort,Budget,800,The Sitting Elephant,255.0,"Roti, Momos, Thali","154, 254, 265"
Rishikesh,Laxman Jhula,150.0,Ganga Beach Resort,Budget,800,Ganga Beach Cafe,319.0,"Paneer Butter Masala, Roti, Momos","270, 128, 199"
Rishikesh,Parmarth Niketan Ashram,200.0,Aloha On The Ganges,Budget,800,Ganga Beach Cafe,319.0,"Paneer Butter Masala, Roti, Momos","270, 128, 199"
Rishikesh,Neer Garh Waterfall,200.0,Hotel Ganga Kinare,Budget,800,Ramana's Garden Organic Cafe,474.0,"Paratha, Biryani, Dosa","199, 291, 71"
Rishikesh,Laxman Jhula,150.0,Ganga Beach Resort,Budget,800,Chotiwala,660.0,"Thali, Paratha, Poha","85, 277, 281"
Rishikesh,Laxman Jhula,150.0,The Roseate Ganges Rishikesh,Luxury,2500,The Sitting Elephant,255.0,"Roti, Momos, Thali","154, 254, 265"
Rishikesh,Ram Jhula,150.0,The Roseate Ganges Rishikesh,Luxury,2500,Rishikesh Thali...,,,
Rishikesh,Neer Garh Waterfall,200.0,Hotel Ganga Kinare,Budget,800,Ganga Beach Cafe,319.0,"Paneer Butter Masala, Roti, Momos","270, 128, 199"
Rishikesh,Triveni Ghat,150.0,Ananda in the Himalayas,Budget,800,The Sitting Elephant,255.0,"Roti, Momos, Thali","154, 254, 265"
Rishikesh,Triveni Ghat,150.0,Aloha On The Ganges,Budget,800,The Sitting Elephant,255.0,"Roti, Momos, Thali","154, 254, 265"
Rishikesh,Neer Garh Waterfall,200.0,The Roseate Ganges Rishikesh,Luxury,2500,Ganga Beach Cafe,319.0,"Paneer Butter Masala, Roti, Momos","270, 128, 199"
Rishikesh,Triveni Ghat,150.0,Ananda in the Himalayas,Budget,800,Rishikesh Thali...,,,
Rishikesh,Triveni Ghat,150.0,Aloha On The Ganges,Budget,800,Rishikesh Thali...,,,
Rishikesh,Parmarth Niketan Ashram,200.0,Aloha On The Ganges,Budget,800,The Sitting Elephant,255.0,"Roti, Momos, Thali","154, 254, 265"
Rishikesh,Ram Jhula,150.0,The Roseate Ganges Rishikesh,Luxury,2500,Ganga Beach Cafe,319.0,"Paneer Butter Masala, Roti, Momos","270, 128, 199"
Rishikesh,The Beatles Ashram (Maharishi Mahesh Yogi Ashram),200.0,Ananda in the Himalayas,Budget,800,Chotiwala,660.0,"Thali, Paratha, Poha","85, 277, 281"
Rishikesh,Ram Jhula,150.0,Hotel Ganga Kinare,Budget,800,Rishikesh Thali...,,,
Jaipur,Nahargarh Fort,150.0,The Raj Palace,Budget,800,Peshawri,401.0,"Momos, Fish Curry, Idli","196, 158, 284"
Jaipur,Nahargarh Fort,150.0,Fairmont Jaipur,Budget,800,Spice Court,313.0,"Paneer Butter Masala, Poha, Upma","291, 181, 172"
Jaipur,Nahargarh Fort,150.0,ITC Rajputana,Mid-range,1500,Niros,629.0,"Roti, Upma, Poha","66, 165, 115"
Jaipur,Albert Hall Museum,200.0,Fairmont Jaipur,Budget,800,Niros,629.0,"Roti, Upma, Poha","66, 165, 115"
Jaipur,Albert Hall Museum,200.0,The Raj Palace,Budget,800,LMB Restaurant,539.0,"Biryani, Paratha, Fish Curry","114, 277, 233"
Jaipur,Amer Fort,0.0,Taj Rambagh Palace,Luxury,2500,Spice Court,313.0,"Paneer Butter Masala, Poha, Upma","291, 181, 172"
Jaipur,Hawa Mahal,0.0,Fairmont Jaipur,Budget,800,LMB Restaurant,539.0,"Biryani, Paratha, Fish Curry","114, 277, 233"
Jaipur,Jal Mahal,150.0,ITC Rajputana,Mid-range,1500,Peshawri,401.0,"Momos, Fish Curry, Idli","196, 158, 284"
Jaipur,Albert Hall Museum,200.0,ITC Rajputana,Mid-range,1500,Spice Court,313.0,"Paneer Butter Masala, Poha, Upma","291, 181, 172"
Jaipur,Amer Fort,0.0,The Raj Palace,Budget,800,Niros,629.0,"Roti, Upma, Poha","66, 165, 115"
Jaipur,Jal Mahal,150.0,Fairmont Jaipur,Budget,800,Niros,629.0,"Roti, Upma, Poha","66, 165, 115"
Jaipur,Amer Fort,0.0,ITC Rajputana,Mid-range,1500,Peshawri,401.0,"Momos, Fish Curry, Idli","196, 158, 284"
Jaipur,Nahargarh Fort,150.0,Fairmont Jaipur,Budget,800,Peshawri,401.0,"Momos, Fish Curry, Idli","196, 158, 284"
Jaipur,City Palace,0.0,Taj Rambagh Palace,Luxury,2500,Peshawri,401.0,"Momos, Fish Curry, Idli","196, 158, 284"
Jaipur,Nahargarh Fort,150.0,Taj Rambagh Palace,Luxury,2500,LMB Restaurant,539.0,"Biryani, Paratha, Fish Curry","114, 277, 233"
Jaipur,Amer Fort,0.0,The Raj Palace,Budget,800,Spice Court,313.0,"Paneer Butter Masala, Poha, Upma","291, 181, 172"
Jaipur,City Palace,0.0,Fairmont Jaipur,Budget,800,Spice Court,313.0,"Paneer Butter Masala, Poha, Upma","291, 181, 172"
Jaipur,City Palace,0.0,Fairmont Jaipur,Budget,800,Peshawri,401.0,"Momos, Fish Curry, Idli","196, 158, 284"
Jaipur,Hawa Mahal,0.0,Fairmont Jaipur,Budget,800,Spice Court,313.0,"Paneer Butter Masala, Poha, Upma","291, 181, 172"
Jaipur,Amer Fort,0.0,Fairmont Jaipur,Budget,800,Spice Court,313.0,"Paneer Butter Masala, Poha, Upma","291, 181, 172"
Gulmarg,Alpather Lake,150.0,The Khyber Himalayan Resort & Spa,Budget,800,Bakshi Restaurant,689.0,"Thali, Paratha, Upma","196, 85, 127"
Gulmarg,Gulmarg Gondola,150.0,The Khyber Himalayan Resort & Spa,Budget,800,Bakshi Restaurant,689.0,"Thali, Paratha, Upma","196, 85, 127"
Gulmarg,St. Mary's Church,150.0,The Khyber Himalayan Resort & Spa,Budget,800,Bakshi Restaurant,689.0,"Thali, Paratha, Upma","196, 85, 127"
Kanyakumari,Padmanabhapuram Palace,200.0,Sparsa Resort Kanyakumari,Mid-range,1500,Saravana,251.0,"Paratha, Dosa, Thali","255, 238, 92"
Kanyakumari,Kanyakumari Temple,200.0,Hotel Sea View,Luxury,2500,Saravana,251.0,"Paratha, Dosa, Thali","255, 238, 92"
Kanyakumari,Padmanabhapuram Palace,200.0,The Gopinivas Grand,Mid-range,1500,The Curry,461.0,"Upma, Paratha, Biryani","84, 116, 210"
Kanyakumari,Thiruvalluvar Statue,0.0,Hotel Sea View,Luxury,2500,Saravana,251.0,"Paratha, Dosa, Thali","255, 238, 92"
Kanyakumari,Suchindram Thanumalayan Temple,200.0,Sparsa Resort Kanyakumari,Mid-range,1500,The Curry,461.0,"Upma, Paratha, Biryani","84, 116, 210"
Kanyakumari,Padmanabhapuram Palace,200.0,Hotel Sea View,Luxury,2500,The Curry,461.0,"Upma, Paratha, Biryani","84, 116, 210"
Kanyakumari,Kanyakumari Beach,0.0,The Gopinivas Grand,Mid-range,1500,The Curry,461.0,"Upma, Paratha, Biryani","84, 116, 210"
Kanyakumari,Kanyakumari Beach,0.0,The Gopinivas Grand,Mid-range,1500,Saravana,251.0,"Paratha, Dosa, Thali","255, 238, 92"
Kanyakumari,Vivekananda Rock Memorial,0.0,Hotel Sea View,Luxury,2500,Annapoorna Restaurant,531.0,"Roti, Paneer Butter Masala, Idli","125, 204, 261"
Kanyakumari,Kanyakumari Beach,0.0,Hotel Sea View,Luxury,2500,The Curry,461.0,"Upma, Paratha, Biryani","84, 116, 210"
Kanyakumari,Kanyakumari Temple,200.0,The Gopinivas Grand,Mid-range,1500,Annapoorna Restaurant,531.0,"Roti, Paneer Butter Masala, Idli","125, 204, 261"
Kanyakumari,Vivekananda Rock Memorial,0.0,The Gopinivas Grand,Mid-range,1500,Saravana,251.0,"Paratha, Dosa, Thali","255, 238, 92"
Kanyakumari,Padmanabhapuram Palace,200.0,Hotel Sea View,Luxury,2500,Annapoorna Restaurant,531.0,"Roti, Paneer Butter Masala, Idli","125, 204, 261"
Kanyakumari,Kanyakumari Temple,200.0,Hotel Sea View,Luxury,2500,Annapoorna Restaurant,531.0,"Roti, Paneer Butter Masala, Idli","125, 204, 261"
Kanyakumari,Suchindram Thanumalayan Temple,200.0,Sparsa Resort Kanyakumari,Mid-range,1500,Annapoorna Restaurant,531.0,"Roti, Paneer Butter Masala, Idli","125, 204, 261"
Kanyakumari,Kanyakumari Temple,200.0,The Gopinivas Grand,Mid-range,1500,The Curry,461.0,"Upma, Paratha, Biryani","84, 116, 210"
Kanyakumari,Suchindram Thanumalayan Temple,200.0,The Gopinivas Grand,Mid-range,1500,The Curry,461.0,"Upma, Paratha, Biryani","84, 116, 210"
Kanyakumari,Thiruvalluvar Statue,0.0,Hotel Sea View,Luxury,2500,The Curry,461.0,"Upma, Paratha, Biryani","84, 116, 210"
Kanyakumari,Kanyakumari Beach,0.0,Sparsa Resort Kanyakumari,Mid-range,1500,Saravana,251.0,"Paratha, Dosa, Thali","255, 238, 92"
Kanyakumari,Padmanabhapuram Palace,200.0,Sparsa Resort Kanyakumari,Mid-range,1500,The Curry,461.0,"Upma, Paratha, Biryani","84, 116, 210"
Gokarna,Om Beach,150.0,Kudle Beach Resort,Mid-range,1500,Namaste Cafe,298.0,"Dosa, Momos, Poha","239, 218, 86"
Gokarna,Paradise Beach,100.0,Kudle Beach Resort,Mid-range,1500,Namaste Cafe,298.0,"Dosa, Momos, Poha","239, 218, 86"
Gokarna,Om Beach,150.0,SwaSwara,Mid-range,1500,Dolphine Bay,516.0,"Roti, Fish Curry, Dosa","130, 166, 295"
Gokarna,Kudle Beach,100.0,OmBeach Resort,Luxury,2500,Dolphine Bay,516.0,"Roti, Fish Curry, Dosa","130, 166, 295"
Gokarna,Kudle Beach,100.0,Kudle Beach Resort,Mid-range,1500,Shanti Cafe,398.0,"Roti, Fish Curry, Momos","297, 70, 141"
Gokarna,Kudle Beach,100.0,OmBeach Resort,Luxury,2500,Shanti Cafe,398.0,"Roti, Fish Curry, Momos","297, 70, 141"
Gokarna,Mahabaleshwar Temple,150.0,OmBeach Resort,Luxury,2500,Shanti Cafe,398.0,"Roti, Fish Curry, Momos","297, 70, 141"
Gokarna,Mahabaleshwar Temple,150.0,SwaSwara,Mid-range,1500,Dolphine Bay,516.0,"Roti, Fish Curry, Dosa","130, 166, 295"
Gokarna,Kudle Beach,100.0,OmBeach Resort,Luxury,2500,Namaste Cafe,298.0,"Dosa, Momos, Poha","239, 218, 86"
Gokarna,Yana Rocks,100.0,OmBeach Resort,Luxury,2500,Dolphine Bay,516.0,"Roti, Fish Curry, Dosa","130, 166, 295"
Gokarna,Mahabaleshwar Temple,150.0,OmBeach Resort,Luxury,2500,Namaste Cafe,298.0,"Dosa, Momos, Poha","239, 218, 86"
Gokarna,Mahabaleshwar Temple,150.0,Kudle Beach Resort,Mid-range,1500,Namaste Cafe,298.0,"Dosa, Momos, Poha","239, 218, 86"
Gokarna,Yana Rocks,100.0,Kudle Beach Resort,Mid-range,1500,Dolphine Bay,516.0,"Roti, Fish Curry, Dosa","130, 166, 295"
Gokarna,Half Moon Beach,150.0,OmBeach Resort,Luxury,2500,Shanti Cafe,398.0,"Roti, Fish Curry, Momos","297, 70, 141"
Gokarna,Paradise Beach,100.0,OmBeach Resort,Luxury,2500,Shanti Cafe,398.0,"Roti, Fish Curry, Momos","297, 70, 141"
Gokarna,Yana Rocks,100.0,SwaSwara,Mid-range,1500,Dolphine Bay,516.0,"Roti, Fish Curry, Dosa","130, 166, 295"
Gokarna,Yana Rocks,100.0,Kudle Beach Resort,Mid-range,1500,Shanti Cafe,398.0,"Roti, Fish Curry, Momos","297, 70, 141"
Gokarna,Yana Rocks,100.0,SwaSwara,Mid-range,1500,Shanti Cafe,398.0,"Roti, Fish Curry, Momos","297, 70, 141"
Gokarna,Om Beach,150.0,OmBeach Resort,Luxury,2500,Shanti Cafe,398.0,"Roti, Fish Curry, Momos","297, 70, 141"
Gokarna,Kudle Beach,100.0,SwaSwara,Mid-range,1500,Shanti Cafe,398.0,"Roti, Fish Curry, Momos","297, 70, 141"
Mahabalipuram,Five Rathas,200.0,Fisherman's Cove,Luxury,2500,Bob Marley Cafe & Beach Shack,296.0,"Biryani, Upma, Roti","257, 213, 155"
Mahabalipuram,Five Rathas,200.0,Chariot Beach Resort,Mid-range,1500,Water's Edge Cafe,652.0,"Paneer Butter Masala, Fish Curry, Roti","221, 181, 122"
Mahabalipuram,Five Rathas,200.0,Chariot Beach Resort,Mid-range,1500,Bob Marley Cafe & Beach Shack,296.0,"Biryani, Upma, Roti","257, 213, 155"
Mahabalipuram,Five Rathas,200.0,Chariot Beach Resort,Mid-range,1500,Bhojan restaurant,269.0,"Paratha, Dosa, Thali","232, 131, 298"
Mahabalipuram,Arjuna's Penance,100.0,Radisson Blu Resort Temple Bay Mamallapuram,Luxury,2500,Bob Marley Cafe & Beach Shack,296.0,"Biryani, Upma, Roti","257, 213, 155"
Mahabalipuram,Shore Temple,200.0,InterContinental Chennai Mahabalipuram Resort,Budget,800,Moonrakers,524.0,"Fish Curry, Paratha, Thali","279, 143, 182"
Mahabalipuram,Arjuna's Penance,100.0,Radisson Blu Resort Temple Bay Mamallapuram,Luxury,2500,Water's Edge Cafe,652.0,"Paneer Butter Masala, Fish Curry, Roti","221, 181, 122"
Mahabalipuram,Mahabalipuram Lighthouse,100.0,Chariot Beach Resort,Mid-range,1500,Moonrakers,524.0,"Fish Curry, Paratha, Thali","279, 143, 182"
